Factor,Level,Performance,Risk
Aspiration,historical,-0.007669165952310042,-0.00039184768762558827
Aspiration,mixed,-6.873028275600213e-05,0.0001709664007589328
Aspiration,social,-0.0023485532210016924,0.00018562973692167264
Aspiration,switching,0.010086449456067736,3.5251549944982814e-05
Tech Uncertainty,High (d=0.5),-0.2572511139319324,-0.0010430562171157374
Tech Uncertainty,Low (d=0.9),0.25725111393193234,0.0010430562171157374
Market Uncertainty,High (v=0.5),-0.04910578597059223,-0.0007088050657268648
Market Uncertainty,Low (v=0.9),0.04910578597059223,0.0007088050657268648
Aspiration x Tech Uncertainty,historical (High (d=0.5)),-0.26133797986570323,-0.0012884688730182784
Aspiration x Tech Uncertainty,historical (Low (d=0.9)),0.2459996479610831,0.0005047734977671019
Aspiration x Tech Uncertainty,mixed (High (d=0.5)),-0.2590053501032821,-0.0015300537237219096
Aspiration x Tech Uncertainty,mixed (Low (d=0.9)),0.25886788953776996,0.0018719865252397744
Aspiration x Tech Uncertainty,social (High (d=0.5)),-0.25914062999311704,-0.0007107272175649552
Aspiration x Tech Uncertainty,social (Low (d=0.9)),0.25444352355111377,0.0010819866914083005
Aspiration x Tech Uncertainty,switching (High (d=0.5)),-0.24952049576562718,-0.0006429750541578063
Aspiration x Tech Uncertainty,switching (Low (d=0.9)),0.26969339467776254,0.0007134781540477728
